PubChem CID,ChEBI
"280","CHEBI:16526"
"681","CHEBI:18243"
"7550","No result"
"7871","CHEBI:75701"
"7305","CHEBI:9195"
"1103","CHEBI:15746"
"1140","CHEBI:17578"
"24933","No result"
"8969","CHEBI:10093"
"123591","No result"
"46907787","No result"
"5311501","CHEBI:73295"
"1530","CHEBI:76290"
"7794","No result"
"14829","No result"
"220401","CHEBI:4393"
"6113","CHEBI:23994"
"9154","No result"
"4156","CHEBI:25255"
"20393","CHEBI:17243"
"9395","CHEBI:27827"
"10222","No result"
"5350","No result"
"5610","CHEBI:15760"
"9723","No result"
"5216","CHEBI:27496"
"7290","CHEBI:18721"
"213027","No result"
"8575","No result"
"24268","CHEBI:63005"
"426379","No result"
"39484","CHEBI:641"
"1242","No result"
"1130","CHEBI:18385"
"1188","CHEBI:17712"
"5284469","No result"
"23986041","No result"
"6918638","CHEBI:61076"
"5371560","CHEBI:38658"
"5154","CHEBI:17183"
"24488","CHEBI:78671"
"60700","CHEBI:63632"
"8722","CHEBI:79736"
"14805","No result"
"104850","CHEBI:34967"
"5358","CHEBI:10650"
"10060242","No result"
"26089","No result"
"5288209","No result"
"41322","CHEBI:30614"
"5330286","CHEBI:85993"
"5104","No result"
"448042","No result"
"161491","CHEBI:17826"
"5462222","CHEBI:26216"
"5360545","CHEBI:26708"
"446378","CHEBI:9516"
"6072","No result"
"5311","CHEBI:45716"
"11807","No result"
"11960529","CHEBI:62880"
"13342","No result"
"5565","No result"
"14969","CHEBI:28001"
"5734","CHEBI:10127"
"5280489","CHEBI:17579"
"39764","CHEBI:9940"
"2750","CHEBI:64227"
"444266","CHEBI:18300"
"5803652","No result"
"5387181","No result"
"3006531","CHEBI:64208"
"5727","No result"
"24424","CHEBI:35176"
"10380472","No result"
"516892","CHEBI:32139"
"51605","No result"
"444732","No result"
"9578570","No result"
"5281707","CHEBI:3908"
"60613","CHEBI:3696"
"9906942","CHEBI:84507"
"11089","CHEBI:53050"
"202225","No result"
"962","CHEBI:15377"
"864","CHEBI:16494"
"60854","CHEBI:10119"
"32014","CHEBI:64211"
"3758","CHEBI:43253"
"159325","No result"
"16132429","No result"
"1123","CHEBI:15891"
"6000","CHEBI:9774"
"6029","CHEBI:16704"
"6440821","No result"
"60857","CHEBI:10124"
"21109","No result"
"42611257","CHEBI:63637"
"14814","CHEBI:30045"
"16129681","No result"
"5593","No result"
"119607","CHEBI:63634"
"60809","No result"
"24007","No result"
"6529","No result"
"6103","CHEBI:35053"
"516900","No result"
"2999413","CHEBI:35064"
"6613","No result"
"101362114","No result"
"5018","CHEBI:73297"
"9704","No result"
"6423","No result"
"1576","No result"
"65552","No result"
"6422843","CHEBI:78780"
"37720","No result"
"5054","CHEBI:27810"
"1225","No result"
"7153","CHEBI:75704"
"25074470","CHEBI:63633"
"7172","CHEBI:29081"
"4261","No result"
"4380","CHEBI:3763"
"9865515","No result"
"637566","CHEBI:17447"
"5284484","No result"
"16682730","CHEBI:27684"
"656583","CHEBI:32260"
"1146","CHEBI:18139"
"5282367","CHEBI:78277"
"5681","No result"
"5494449","No result"
"56599306","No result"
"4541","No result"
"91754","CHEBI:38626"
"6133","CHEBI:15713"
"447715","No result"
"5280457","CHEBI:17323"
"8186","CHEBI:46202"
"91827389","No result"
"265237","CHEBI:69120"
"14296","No result"
"6918649","No result"
"2807869","No result"
"65351","CHEBI:78782"
"50287","No result"
"5470187","CHEBI:63892"
"5281575","CHEBI:10089"
"5280459","CHEBI:17558"
"1183","CHEBI:18346"
"1923","CHEBI:48981"
"439190","CHEBI:16332"
"9933427","No result"
"9874191","No result"
"64760","No result"
"5282350","No result"
"15984937","No result"
"62395","No result"
"24180126","No result"
"2724354","CHEBI:63623"
"82148","No result"
"187808","CHEBI:80373"
"11526696","No result"
"5280899","CHEBI:27547"
"5280441","CHEBI:16954"
"6912","No result"
"5281511","CHEBI:10058"
"125105","No result"
"11210478","No result"
"11238147","No result"
"122724","CHEBI:63959"
"65157","No result"
"161057","No result"
"213022","No result"
"1031","CHEBI:28831"
"6918837","CHEBI:85990"
"14821","No result"
"8063","CHEBI:84069"
"5280483","No result"
"1613","No result"
"66542","No result"
"31211","CHEBI:68657"
"16759369","No result"
"5281727","CHEBI:8630"
"176407","No result"
"161597","CHEBI:77012"
"155774","CHEBI:10055"
"5311271","No result"
"11232124","No result"
"46224516","No result"
"71485","CHEBI:32159"
"639665","CHEBI:66331"
"9936230","No result"
"261000","CHEBI:379896"
"42607696","No result"
"6324668","CHEBI:9506"
"56841988","No result"
"6918811","No result"
"5722","No result"
"9929138","No result"
"5413","No result"
"71729975","No result"
"6434236","No result"
"5366074","CHEBI:67251"
"73357729","No result"
"5289590","CHEBI:17140"
"34007","No result"
"5042","No result"
"108143","CHEBI:32181"
"5352624","CHEBI:75408"
"7020","No result"
"5318517","CHEBI:65408"
"71773126","No result"
"11524680","No result"
"11192","CHEBI:62984"
"527","CHEBI:17153"
"1730","CHEBI:28420"
"9893571","CHEBI:79997"
"162548","No result"
"6438355","CHEBI:75170"
"5281813","CHEBI:10037"
"5360596","No result"
"91769","No result"
"148185","No result"
"159408","No result"
"6439050","No result"
"115111","No result"
"439503","CHEBI:17814"
"161004","No result"
"14257","No result"
"5282800","No result"
"23714994","No result"
"381594","No result"
"10026128","No result"
"24412","No result"
"638014","CHEBI:32325"
"443955","No result"
"9816836","No result"
"5709","CHEBI:10082"
"22788210","No result"
"159324","No result"
"5311502","No result"
"261","CHEBI:15743"
